BUSINESSOPERATOR;DetailURL;StreetNumber;Street;TOTALOUTSTANDING;TotalUnits;Geom;Geo Local Area
Ali's Property Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=412&street=COLUMBIA%20STREET;412;COLUMBIA STREET;1;7;"{""type"": ""Point"", ""coordinates"": [-123.10209829, 49.28113543]}";Downtown
673854 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2615&street=COLUMBIA%20STREET;2615;COLUMBIA STREET;2;13;"{""type"": ""Point"", ""coordinates"": [-123.10984221, 49.26197789]}";Mount Pleasant
John Engleman;http://app.vancouver.ca/RPS_Net/Default.aspx?num=810&street=COMMERCIAL%20DIVERSION%20NORTH;810;COMMERCIAL DIVERSION NORTH;2;7;"{""type"": ""Point"", ""coordinates"": [-123.06933738, 49.27730234]}";Grandview-Woodland
631 Commercial Drive Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=633&street=COMMERCIAL%20DRIVE;633;COMMERCIAL DRIVE;3;6;"{""type"": ""Point"", ""coordinates"": [-123.07074744, 49.2788454]}";Grandview-Woodland
Jack Eng;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1435&street=COMMERCIAL%20DRIVE;1435;COMMERCIAL DRIVE;2;6;"{""type"": ""Point"", ""coordinates"": [-123.06998097, 49.27172277]}";Grandview-Woodland
John Manzi Nalatino Manzi & Robert Manzi;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3607&street=COMMERCIAL%20STREET;3607;COMMERCIAL STREET;5;10;"{""type"": ""Point"", ""coordinates"": [-123.06846251, 49.25233156]}";Kensington-Cedar Cottage
Andrew Priatel & John Priatel;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1075&street=COMOX%20STREET;1075;COMOX STREET;1;87;"{""type"": ""Point"", ""coordinates"": [-123.12801526, 49.28146361]}";West End
Daysgoneby.org Land Stewards Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1717&street=COMOX%20STREET;1717;COMOX STREET;1;23;"{""type"": ""Point"", ""coordinates"": [-123.13796381, 49.2880357]}";West End
Rockmill Myers;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1869&street=COMOX%20STREET;1869;COMOX STREET;1;86;"{""type"": ""Point"", ""coordinates"": [-123.1408004, 49.28973331]}";West End
Baltic Title Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1250&street=COMOX%20STREET;1250;COMOX STREET;3;90;"{""type"": ""Point"", ""coordinates"": [-123.13240993, 49.28357516]}";West End
Irving M Kirsch (Irving Kirsch);http://app.vancouver.ca/RPS_Net/Default.aspx?num=2025&street=CORNWALL%20AVENUE;2025;CORNWALL AVENUE;6;17;"{""type"": ""Point"", ""coordinates"": [-123.15059227, 49.27271584]}";Kitsilano
Creekside Ventures Limited;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1450&street=CREEKSIDE%20DRIVE;1450;CREEKSIDE DRIVE;1;39;"{""type"": ""Point"", ""coordinates"": [-123.13984642, 49.27145559]}";Fairview
1770 Davie Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1770&street=DAVIE%20STREET;1770;DAVIE STREET;4;58;"{""type"": ""Point"", ""coordinates"": [-123.14192583, 49.2869223]}";West End
Brightside Community Homes Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=238&street=DAVIE%20STREET;238;DAVIE STREET;5;72;"{""type"": ""Point"", ""coordinates"": [-123.12370772, 49.27375636]}";Downtown
Pacific Coast Tobacco Co Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1180&street=DAVIE%20STREET;1180;DAVIE STREET;1;5;"{""type"": ""Point"", ""coordinates"": [-123.13321628, 49.28129403]}";West End
Yip C Lai & Cheuk Y Lew;http://app.vancouver.ca/RPS_Net/Default.aspx?num=676&street=DAVIE%20STREET;676;DAVIE STREET;1;8;"{""type"": ""Point"", ""coordinates"": [-123.12605305, 49.27685083]}";Downtown
Wing Chan Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1116&street=DAVIE%20STREET;1116;DAVIE STREET;4;6;"{""type"": ""Point"", ""coordinates"": [-123.13198291, 49.28050749]}";West End
Verbier Management Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1516&street=DAVIE%20STREET;1516;DAVIE STREET;3;83;"{""type"": ""Point"", ""coordinates"": [-123.13817768, 49.28450349]}";West End
Lawrence Wong;http://app.vancouver.ca/RPS_Net/Default.aspx?num=809&street=DENMAN%20STREET;809;DENMAN STREET;1;8;"{""type"": ""Point"", ""coordinates"": [-123.13589931, 49.29147113]}";West End
Helping Spirit Lodge Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3989&street=DUMFRIES%20STREET;3989;DUMFRIES STREET;2;36;"{""type"": ""Point"", ""coordinates"": [-123.07371806, 49.24966055]}";Kensington-Cedar Cottage
J 110 Freecorp Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5626&street=DUNBAR%20STREET;5626;DUNBAR STREET;1;8;"{""type"": ""Point"", ""coordinates"": [-123.18499035, 49.23527137]}";Dunbar-Southlands
1313 Ventures Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2121&street=DUNDAS%20STREET;2121;DUNDAS STREET;3;35;"{""type"": ""Point"", ""coordinates"": [-123.06098535, 49.2850593]}";Grandview-Woodland
442746 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2200&street=DUNDAS%20STREET;2200;DUNDAS STREET;6;35;"{""type"": ""Point"", ""coordinates"": [-123.05946597, 49.28454108]}";Grandview-Woodland
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=143&street=DUNLEVY%20AVENUE;143;DUNLEVY AVENUE;38;55;"{""type"": ""Point"", ""coordinates"": [-123.0955126, 49.28336116]}";Strathcona
Lookout Housing and Health Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=188&street=E%201ST%20AVENUE;188;E 1ST AVENUE;2;129;"{""type"": ""Point"", ""coordinates"": [-123.1011091, 49.26985484]}";Mount Pleasant
Ecogreen Development Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1535&street=E%201ST%20AVENUE;1535;E 1ST AVENUE;4;13;"{""type"": ""Point"", ""coordinates"": [-123.07279341, 49.2698852]}";Grandview-Woodland
Yin Wan Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1421&street=E%202ND%20AVENUE;1421;E 2ND AVENUE;1;33;"{""type"": ""Point"", ""coordinates"": [-123.07483703, 49.26899957]}";Grandview-Woodland
Sason Malky & Tamar Malky;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1510&street=E%204TH%20AVENUE;1510;E 4TH AVENUE;5;16;"{""type"": ""Point"", ""coordinates"": [-123.07328206, 49.26664393]}";Grandview-Woodland
Entre Nous Femmes Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1534&street=E%204TH%20AVENUE;1534;E 4TH AVENUE;1;21;"{""type"": ""Point"", ""coordinates"": [-123.07288057, 49.266645]}";Grandview-Woodland
Albert Weisstock;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1545&street=E%204TH%20AVENUE;1545;E 4TH AVENUE;4;8;"{""type"": ""Point"", ""coordinates"": [-123.07248681, 49.26716005]}";Grandview-Woodland
Jim Lee & Yu A Lee;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1722&street=E%204TH%20AVENUE;1722;E 4TH AVENUE;1;6;"{""type"": ""Point"", ""coordinates"": [-123.06907305, 49.26688213]}";Grandview-Woodland
George & Miriam & Theresa Winkler;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1650&street=E%205TH%20AVENUE;1650;E 5TH AVENUE;2;56;"{""type"": ""Point"", ""coordinates"": [-123.07146865, 49.26573037]}";Grandview-Woodland
Prang Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=525&street=E%205TH%20AVENUE;525;E 5TH AVENUE;1;41;"{""type"": ""Point"", ""coordinates"": [-123.09199214, 49.26643111]}";Mount Pleasant
262109 B C Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=801&street=E%206TH%20AVENUE;801;E 6TH AVENUE;6;188;"{""type"": ""Point"", ""coordinates"": [-123.08625103, 49.26561196]}";Mount Pleasant
Briscoe Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1555&street=E%206TH%20AVENUE;1555;E 6TH AVENUE;3;44;"{""type"": ""Point"", ""coordinates"": [-123.07266613, 49.26534903]}";Grandview-Woodland
Mighty Atom Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=203&street=E%206TH%20AVENUE;203;E 6TH AVENUE;6;17;"{""type"": ""Point"", ""coordinates"": [-123.10037627, 49.26564177]}";Mount Pleasant
Brightside Community Homes Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1620&street=E%206TH%20AVENUE;1620;E 6TH AVENUE;2;41;"{""type"": ""Point"", ""coordinates"": [-123.0713509, 49.26471876]}";Grandview-Woodland
Antonio Chun Hung Lee (Antonio Lee);http://app.vancouver.ca/RPS_Net/Default.aspx?num=133&street=E%207TH%20AVENUE;133;E 7TH AVENUE;2;13;"{""type"": ""Point"", ""coordinates"": [-123.10204074, 49.2648708]}";Mount Pleasant
Joseph Seccia & Mario Seccia;http://app.vancouver.ca/RPS_Net/Default.aspx?num=727&street=E%207TH%20AVENUE;727;E 7TH AVENUE;1;38;"{""type"": ""Point"", ""coordinates"": [-123.0884632, 49.26457098]}";Mount Pleasant
Acona Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=537&street=E%207TH%20AVENUE;537;E 7TH AVENUE;4;9;"{""type"": ""Point"", ""coordinates"": [-123.09207801, 49.26460098]}";Mount Pleasant
R Markham;http://app.vancouver.ca/RPS_Net/Default.aspx?num=611&street=E%207TH%20AVENUE;611;E 7TH AVENUE;1;106;"{""type"": ""Point"", ""coordinates"": [-123.09038875, 49.26458658]}";Mount Pleasant
Golden Fortune Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=404&street=E%208TH%20AVENUE;404;E 8TH AVENUE;2;39;"{""type"": ""Point"", ""coordinates"": [-123.09539736, 49.26319555]}";Mount Pleasant
Raymar Realty Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=317&street=E%208TH%20AVENUE;317;E 8TH AVENUE;3;35;"{""type"": ""Point"", ""coordinates"": [-123.09826391, 49.26390043]}";Mount Pleasant
C B T Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=156&street=E%208TH%20AVENUE;156;E 8TH AVENUE;7;12;"{""type"": ""Point"", ""coordinates"": [-123.10142785, 49.26354412]}";Mount Pleasant
Shelmar Credit Acceptance Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=639&street=E%208TH%20AVENUE;639;E 8TH AVENUE;1;26;"{""type"": ""Point"", ""coordinates"": [-123.08998437, 49.26368153]}";Mount Pleasant
825 East 8th Avenue Nominee Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=825&street=E%208TH%20AVENUE;825;E 8TH AVENUE;4;41;"{""type"": ""Point"", ""coordinates"": [-123.08613033, 49.26364898]}";Mount Pleasant
Fu D Ren & Feng B Yan;http://app.vancouver.ca/RPS_Net/Default.aspx?num=414&street=E%2010TH%20AVENUE;414;E 10TH AVENUE;9;38;"{""type"": ""Point"", ""coordinates"": [-123.09554677, 49.26130685]}";Mount Pleasant
Big Fortune Enterprises Co Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=354&street=E%2010TH%20AVENUE;354;E 10TH AVENUE;3;12;"{""type"": ""Point"", ""coordinates"": [-123.09683698, 49.26170415]}";Mount Pleasant
Anthony Ng & Yumy Ng;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1556&street=E%2010TH%20AVENUE;1556;E 10TH AVENUE;10;9;"{""type"": ""Point"", ""coordinates"": [-123.07233818, 49.26111787]}";Kensington-Cedar Cottage
Jan Friedman;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1629&street=E%2010TH%20AVENUE;1629;E 10TH AVENUE;19;8;"{""type"": ""Point"", ""coordinates"": [-123.07100231, 49.26163547]}";Kensington-Cedar Cottage
333 East 11th Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=333&street=E%2011TH%20AVENUE;333;E 11TH AVENUE;1;201;"{""type"": ""Point"", ""coordinates"": [-123.0974708, 49.2613253]}";Mount Pleasant
Kensington Court Apts Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=425&street=E%2011TH%20AVENUE;425;E 11TH AVENUE;1;57;"{""type"": ""Point"", ""coordinates"": [-123.0955488, 49.26092575]}";Mount Pleasant
254 E 12th Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=254&street=E%2012TH%20AVENUE;254;E 12TH AVENUE;1;35;"{""type"": ""Point"", ""coordinates"": [-123.09919864, 49.25992148]}";Mount Pleasant
Van Center Management Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=44&street=E%2013TH%20AVENUE;44;E 13TH AVENUE;1;51;"{""type"": ""Point"", ""coordinates"": [-123.10421593, 49.25906153]}";Mount Pleasant
HWP 242 14th Avenue Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=242&street=E%2014TH%20AVENUE;242;E 14TH AVENUE;1;20;"{""type"": ""Point"", ""coordinates"": [-123.09946364, 49.25812427]}";Mount Pleasant
Q-14 HOLDINGS LTD;http://app.vancouver.ca/RPS_Net/Default.aspx?num=95&street=E%2014TH%20AVENUE;95;E 14TH AVENUE;3;26;"{""type"": ""Point"", ""coordinates"": [-123.10353917, 49.25878761]}";Mount Pleasant
Kin Quai Mah & Woo Wai Yin Mah;http://app.vancouver.ca/RPS_Net/Default.aspx?num=227&street=E%2015TH%20AVENUE;227;E 15TH AVENUE;1;8;"{""type"": ""Point"", ""coordinates"": [-123.10010439, 49.25774528]}";Mount Pleasant
Marzena Ptak;http://app.vancouver.ca/RPS_Net/Default.aspx?num=802&street=E%2015TH%20AVENUE;802;E 15TH AVENUE;1;5;"{""type"": ""Point"", ""coordinates"": [-123.08721349, 49.25686693]}";Mount Pleasant
Jimmy Chow;http://app.vancouver.ca/RPS_Net/Default.aspx?num=250&street=E%2015TH%20AVENUE;250;E 15TH AVENUE;1;6;"{""type"": ""Point"", ""coordinates"": [-123.09928519, 49.25721818]}";Mount Pleasant
